genres,id,overview,release_date,title,vote_average,vote_count,director,actors
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-10-30,Toy Story,7.7,5415.0,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995-12-15,Jumanji,6.9,2413.0,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst"
"[{'id': 35, 'name': 'Comedy'}]",11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",1995-02-10,Father of the Bride Part II,5.7,173.0,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short"
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",1995-12-15,Heat,7.7,1886.0,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9091,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",1995-12-22,Sudden Death,5.5,174.0,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Dorian Harewood"
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",710,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,1995-11-16,GoldenEye,6.6,1194.0,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco"
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,The American President,6.5,199.0,Rob Reiner,"Michael Douglas, Annette Bening, Michael J. Fox"
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",1995-12-22,Dracula: Dead and Loving It,5.7,210.0,Mel Brooks,"Leslie Nielsen, Mel Brooks, Amy Yasbeck"
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,Balto,7.1,423.0,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda"
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,1995-11-22,Casino,7.8,1343.0,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
